DATAFLOW,LAST UPDATE,freq,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_SKS_ITSPS(1.0),24/04/24 23:00:00,A,PC,F,AT,2014,13.4,e
ESTAT:ISOC_SKS_ITSPS(1.0),24/04/24 23:00:00,A,PC,F,AT,2015,14.3,e
ESTAT:ISOC_SKS_ITSPS(1.0),24/04/24 23:00:00,A,PC,F,AT,2016,17.1,
ESTAT:ISOC_SKS_ITSPS(1.0),24/04/24 23:00:00,A,PC,F,AT,2017,15.7,e
ESTAT:ISOC_SKS_ITSPS(1.0),24/04/24 23:00:00,A,PC,F,AT,2018,18.4,
ESTAT:ISOC_SKS_ITSPS(1.0),24/04/24 23:00:00,A,PC,F,AT,2019,20.4,
ESTAT:ISOC_SKS_ITSPS(1.0),24/04/24 23:00:00,A,PC,F,AT,2020,20.3,
ESTAT:ISOC_SKS_ITSPS(1.0),24/04/24 23:00:00,A,PC,F,AT,2021,19.0,b
ESTAT:ISOC_SKS_ITSPS(1.0),24/04/24 23:00:00,A,PC,F,AT,2022,19.3,
ESTAT:ISOC_SKS_ITSPS(1.0),24/04/24 23:00:00,A,PC,F,AT,2023,19.5,
ESTAT:ISOC_SKS_ITSPS(1.0),24/04/24 23:00:00,A,PC,F,BA,2021,17.8,bu
ESTAT:ISOC_SKS_ITSPS(1.0),24/04/24 23:00:00,A,PC,F,BA,2022,24.2,e
ESTAT:ISOC_SKS_ITSPS(1.0),24/04/24 23:00:00,A,PC,F,BA,2023,19.4,e
ESTAT:ISOC_SKS_ITSPS(1.0),24/04/24 23:00:00,A,PC,F,BE,2014,15.2,
ESTAT:ISOC_SKS_ITSPS(1.0),24/04/24 23:00:00,A,PC,F,BE,2015,15.1,
ESTAT:ISOC_SKS_ITSPS(1.0),24/04/24 23:00:00,A,PC,F,BE,2016,14.1,
